City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,naifaru,5.44,73.37,84.07,74,93,9.82,MV,1587774518
153,luganville,-15.53,167.17,82.4,78,75,13.87,VU,1587774518
154,chuy,-33.7,-53.46,69.39,73,86,7.74,UY,1587774314
155,vanimo,-2.67,141.3,84.79,68,0,2.59,PG,1587774519
156,victoria,22.29,114.16,66.99,82,40,3.36,HK,1587774300
157,vigrestad,58.57,5.7,41.0,86,6,2.24,NO,1587774519
158,xining,36.62,101.77,39.65,26,27,3.13,CN,1587774519
159,the valley,18.22,-63.06,80.6,69,40,12.75,AI,1587774520
160,byron bay,-28.65,153.62,75.2,60,0,6.93,AU,1587774520
161,astara,38.5,48.67,48.2,100,90,4.41,AZ,1587774520
162,ferkessedougou,9.6,-5.2,75.81,72,100,5.14,CI,1587774521
163,ayan,56.45,138.17,31.48,96,100,11.7,RU,1587774521
164,abu kamal,34.45,40.92,71.15,38,64,9.73,SY,1587774521
165,cidreira,-30.18,-50.21,69.62,87,70,15.82,BR,1587774521
166,port hardy,50.7,-127.42,57.2,62,90,17.22,CA,1587774521
167,vilyuysk,63.76,121.62,34.21,86,94,4.38,RU,1587774521
168,harlingen,26.19,-97.7,93.2,44,1,14.99,US,1587774522
169,rocha,-34.48,-54.33,68.0,77,88,5.84,UY,1587774522
170,la ronge,55.1,-105.28,46.4,86,75,8.05,CA,1587774522
171,sarangani,5.4,125.46,82.98,80,97,23.76,PH,1587774522
172,rafai,4.95,23.92,71.44,70,26,0.94,CF,1587774523
173,isangel,-19.55,169.27,82.4,65,90,9.17,VU,1587774523
174,asau,46.43,26.4,48.0,46,56,5.75,RO,1587774523
175,nemuro,43.32,145.57,48.2,42,20,8.05,JP,1587774523
176,bardiyah,31.76,25.09,60.03,77,20,13.56,LY,1587774523
177,mandapeta,16.87,81.93,80.71,88,36,1.12,IN,1587774523
178,majene,-3.54,118.97,80.04,84,98,4.14,ID,1587774364
179,pokosnoye,55.53,101.05,56.46,58,100,5.1,RU,1587774524
180,homer,59.64,-151.55,48.2,61,90,5.82,US,1587774524
181,vestmannaeyjar,63.44,-20.27,43.2,82,97,9.01,IS,1587774524
182,saquena,-4.67,-73.52,77.45,85,95,2.06,PE,1587774524
183,alyangula,-13.85,136.42,87.8,62,32,3.36,AU,1587774524
184,san quintin,30.48,-115.95,71.85,55,0,5.88,MX,1587774524
185,pisco,-13.7,-76.22,69.8,77,0,14.99,PE,1587774525
186,chokurdakh,70.63,147.92,16.3,95,7,1.57,RU,1587774245
187,houston,29.76,-95.36,84.99,58,20,12.75,US,1587774399
188,saint-louis,16.33,-15.0,75.2,57,53,4.7,SN,1587774526
189,methoni,36.82,21.7,55.99,76,0,5.82,GR,1587774526
190,nome,64.5,-165.41,39.2,55,1,5.82,US,1587774526
191,makakilo city,21.35,-158.09,82.4,58,75,9.17,US,1587774527
192,taoudenni,22.68,-3.98,88.2,16,12,12.26,ML,1587774527
193,carnarvon,-24.87,113.63,73.2,67,99,25.17,AU,1587774527
194,yuanping,38.72,112.76,52.79,26,0,4.23,CN,1587774528
195,rajgarh,28.63,75.38,80.47,37,52,4.36,IN,1587774528
196,clyde river,70.47,-68.59,12.2,85,75,13.87,CA,1587774528
197,lebu,-37.62,-73.65,56.97,89,94,17.96,CL,1587774528
198,berbera,10.44,45.01,84.38,74,99,5.66,SO,1587774529
199,nyamati,14.15,75.58,74.01,72,94,7.54,IN,1587774529
200,shingu,33.73,135.98,59.0,47,0,8.05,JP,1587774529
201,powell river,49.85,-124.54,54.0,71,90,11.41,CA,1587774529
202,elat,29.56,34.95,77.0,50,9,8.88,IL,1587774529
203,kodiak,57.79,-152.41,44.6,87,90,14.99,US,1587774529
204,souillac,-20.52,57.52,73.4,100,75,7.78,MU,1587774530
205,san policarpo,12.18,125.51,81.84,83,7,15.26,PH,1587774530
206,tautira,-17.73,-149.15,86.0,62,12,9.17,PF,1587774530
207,esperance,-33.87,121.9,60.8,100,100,10.29,AU,1587774530
208,gastonia,35.26,-81.19,73.4,43,40,3.36,US,1587774449
209,bethel,41.37,-73.41,48.0,87,1,4.88,US,1587774530
210,tayoltita,24.08,-105.93,85.82,16,1,7.4,MX,1587774531
211,vao,-22.67,167.48,74.32,61,100,12.46,NC,1587774531
212,maceio,-9.67,-35.74,75.2,94,20,8.55,BR,1587774374
213,caravelas,-17.71,-39.25,74.8,82,17,16.62,BR,1587774531
214,nanortalik,60.14,-45.24,39.76,72,92,26.71,GL,1587774532
215,yellowknife,62.46,-114.35,23.0,79,90,13.87,CA,1587774532
216,bengkulu,-3.8,102.27,77.72,82,88,4.21,ID,1587774324
217,ust-koksa,50.27,85.61,49.95,28,82,8.28,RU,1587774532
218,kaputa,-8.47,29.66,65.8,66,0,0.47,ZM,1587774533
219,crotone,39.09,17.12,56.23,68,6,5.61,IT,1587774533
220,sangar,63.92,127.47,32.83,89,2,5.41,RU,1587774533
221,jianhu,29.98,120.57,64.4,52,99,8.95,CN,1587774533
222,bonthe,7.53,-12.51,80.2,78,92,5.21,SL,1587774533
223,mindelo,16.89,-24.98,71.6,68,20,16.11,CV,1587774534
224,ciudad bolivar,8.12,-63.55,89.47,39,77,13.6,VE,1587774534
225,madisonville,37.33,-87.5,66.2,52,1,4.88,US,1587774440
226,narsaq,60.92,-46.05,50.0,31,100,23.04,GL,1587774534
227,port moresby,-9.44,147.18,84.2,79,40,13.87,PG,1587774319
228,upernavik,72.79,-56.15,30.33,95,47,12.44,GL,1587774535
229,porto novo,6.5,2.6,84.2,83,40,12.75,BJ,1587774535
230,salalah,17.02,54.09,82.4,83,40,4.7,OM,1587774534
231,springfield,37.22,-93.3,66.99,68,90,4.7,US,1587774364
232,beloostrov,60.15,30.0,33.8,59,22,8.95,RU,1587774536
233,attingal,8.68,76.83,82.4,83,40,2.24,IN,1587774536
234,caxito,-8.58,13.66,78.8,94,75,5.82,AO,1587774536
235,kaitangata,-46.28,169.85,55.0,62,57,17.0,NZ,1587774537
236,lorengau,-2.02,147.27,85.21,68,3,2.95,PG,1587774537
237,veisiejai,54.1,23.7,44.73,77,96,4.92,LT,1587774537
238,husavik,66.04,-17.34,39.2,86,90,14.99,IS,1587774537
239,lubao,14.92,120.55,84.2,62,40,4.7,PH,1587774538
240,chaihe,44.77,129.7,44.22,51,95,6.93,CN,1587774538
241,serenje,-13.23,30.24,56.57,55,17,3.11,ZM,1587774539
242,hirara,24.8,125.28,71.6,64,75,11.41,JP,1587774540
